gbifID,scientificName,decimalLatitude,decimalLongitude,elevation,depth,present
609454799,Ciona intestinalis (Linnaeus; 1767),37.8694,-122.49652,,1.0,1
609454641,Ciona intestinalis (Linnaeus; 1767),37.87078,-122.49853,,1.0,1
609454628,Ciona intestinalis (Linnaeus; 1767),37.86876,-122.49636,,1.0,1
609454604,Ciona intestinalis (Linnaeus; 1767),37.50003,-122.22295,,1.0,1
609454589,Ciona intestinalis (Linnaeus; 1767),37.50074,-122.22422,,1.0,1
609454578,Ciona intestinalis (Linnaeus; 1767),37.5007,-122.22528,,1.0,1
609454573,Ciona intestinalis (Linnaeus; 1767),37.50247,-122.21132,,1.0,1
609454226,Ciona intestinalis (Linnaeus; 1767),37.91407,-122.34899,,1.0,1
609454211,Ciona intestinalis (Linnaeus; 1767),37.91285,-122.35348,,1.0,1
609454188,Ciona intestinalis (Linnaeus; 1767),37.8694,-122.49652,,1.0,1
609454172,Ciona intestinalis (Linnaeus; 1767),37.50295,-122.21399,,1.0,1
609454152,Ciona intestinalis (Linnaeus; 1767),37.91553,-122.47824,,1.0,1
609454131,Ciona intestinalis (Linnaeus; 1767),37.87204,-122.46133,,1.0,1
609454121,Ciona intestinalis (Linnaeus; 1767),37.87077,-122.46264,,1.0,1
609454093,Ciona intestinalis (Linnaeus; 1767),37.91244,-122.34601,,1.0,1
609454002,Ciona intestinalis (Linnaeus; 1767),37.66316,-122.38181,,1.0,1
609453558,Ciona intestinalis (Linnaeus; 1767),37.780083,-122.253333,,1.0,1
609453110,Ciona intestinalis (Linnaeus; 1767),37.779111,-122.252222,,1.0,1
609452611,Ciona intestinalis (Linnaeus; 1767),37.87003,-122.49643,,1.5,1
609452577,Ciona intestinalis (Linnaeus; 1767),37.97264,-122.47881,,1.0,1
609452313,Ciona intestinalis (Linnaeus; 1767),37.676778,-122.379639,,0.5,1
609440797,Ciona intestinalis (Linnaeus; 1767),37.665278,-122.363611,,4.96,1
609440444,Ciona intestinalis (Linnaeus; 1767),37.665278,-122.363611,,5.58,1
609429311,Ciona intestinalis (Linnaeus; 1767),37.540833,-122.192222,,9.145,1
609429224,Ciona intestinalis (Linnaeus; 1767),37.579722,-122.229167,,10.36,1
609429220,Ciona intestinalis (Linnaeus; 1767),37.579722,-122.229167,,10.36,1
609429121,Ciona intestinalis (Linnaeus; 1767),37.579722,-122.229167,,10.36,1
609429115,Ciona intestinalis (Linnaeus; 1767),37.579722,-122.229167,,10.36,1
609429015,Ciona intestinalis (Linnaeus; 1767),37.568056,-122.209167,,12.495000000000000,1
609428733,Ciona intestinalis (Linnaeus; 1767),37.796111,-122.317778,,10.36,1
609428325,Ciona intestinalis (Linnaeus; 1767),38.093889,-122.259167,,10.055,1
609426440,Ciona intestinalis (Linnaeus; 1767),37.466667,-122.1,,0.2,1
609383029,Ciona intestinalis (Linnaeus; 1767),37.550833,-122.194444,,10.825,1
609382325,Ciona intestinalis (Linnaeus; 1767),37.550833,-122.194444,,10.825,1
609382289,Ciona intestinalis (Linnaeus; 1767),37.568056,-122.209167,,12.495000000000000,1
609380076,Ciona intestinalis (Linnaeus; 1767),37.568056,-122.209167,,12.495000000000000,1
4405985305,Ciona intestinalis (Linnaeus; 1767),42.54017,-70.88636,,0.5,1
4173624492,Ciona intestinalis (Linnaeus; 1767),61.317568,5.152988,,15.0,1
4173609041,Ciona intestinalis (Linnaeus; 1767),61.37278,5.641483,,20.0,1
4173589110,Ciona intestinalis (Linnaeus; 1767),61.382794,5.440826,,12.0,1
4173551313,Ciona intestinalis (Linnaeus; 1767),61.364993,5.580874,,11.0,1
4173528247,Ciona intestinalis (Linnaeus; 1767),61.2369,7.655694,,30.0,1
4173513474,Ciona intestinalis (Linnaeus; 1767),61.368308,5.588204,,70.0,1
4173499893,Ciona intestinalis (Linnaeus; 1767),61.375991,5.533919,,77.0,1
4173495266,Ciona intestinalis (Linnaeus; 1767),61.317047,5.153311,,15.0,1
4173461157,Ciona intestinalis (Linnaeus; 1767),61.236412,7.656278,,30.0,1
