gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3470254918,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092329731V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,ZA,Sodwana Bay: Two Mile Reef: Deep Sponge,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,,,,,,,,,2001-02-11T00:00:00,11,2,2001,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092329731V,KZN2122,,,CC_BY_4_0,Meise Botanic Garden,De Clerck O.; Engledow H.; Fredericq S.; Freshwater W. & Leliaert F.,,,2023-09-07T10:52:11.074Z,InteractiveResource;StillImage,
3470254148,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010098390599V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,KE,Mombasa: Nyali Beach,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,-4.044038,39.717699,,,,,,,1988-03-15T00:00:00,15,3,1988,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010098390599V,7339,,,CC_BY_4_0,Meise Botanic Garden,Coppejans E.,,,2023-09-07T10:52:04.266Z,StillImage;InteractiveResource,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3470254071,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092362561V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,PH,Northern Samar: Urdaneta Bay,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,,,,,,,,,1998-04-24T00:00:00,24,4,1998,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092362561V,12374B,,,CC_BY_4_0,Meise Botanic Garden,Coppejans E.,,,2023-09-07T10:52:05.648Z,InteractiveResource;StillImage,CONTINENT_DERIVED_FROM_COUNTRY
3470254070,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092356676V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,ID,Sta. 4.129. N of Sumbawa; Bay of Sanggar.,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,-8.366667,118.298333,,,,,,,1984-09-22T00:00:00,22,9,1984,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092356676V,SNELLIUS-II 11121C,,,CC_BY_4_0,Meise Botanic Garden,Coppejans & Prud'homme van Reine; Heys,,,2023-09-07T10:52:04.245Z,StillImage;InteractiveResource,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3470254069,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092345632V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,LK,Weligama,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,5.958241,80.422666,,,,,,,2008-02-14T00:00:00,14,2,2008,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092345632V,16405,,,CC_BY_4_0,Meise Botanic Garden,Coppejans E.,,,2023-09-07T10:52:05.648Z,StillImage;InteractiveResource,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3470254068,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092340484V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,LK,Matara: Polhena Beach,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,5.937924,80.530041,,,,,,,2006-08-16T00:00:00,16,8,2006,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092340484V,15923,,,CC_BY_4_0,Meise Botanic Garden,Coppejans E.,,,2023-09-07T10:52:05.648Z,StillImage;InteractiveResource,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3470254067,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092339747V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,LK,Matara: Polhena Beach,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,5.937924,80.530041,,,,,,,2006-08-16T00:00:00,16,8,2006,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092339747V,15923,,,CC_BY_4_0,Meise Botanic Garden,Coppejans E.,,,2023-09-07T10:52:04.245Z,StillImage;InteractiveResource,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3470254065,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092328703V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,ZA,Sodwana Bay: Eight Mile Reef: Ramsey,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,-27.525013,32.679149,,,,,,,2003-11-03T00:00:00,3,11,2003,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092328703V,KZNB2208,,,CC_BY_4_0,Meise Botanic Garden,De Clerck O.; Schils T.; Verbruggen H. & Demeulenaere E.,,,2023-09-07T10:52:05.648Z,StillImage;InteractiveResource,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3470242997,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092353583V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,ID,Sta. 4.059. NE coast of Sumba; beach & stony littoral off Melolo.,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,-9.875,120.671666,,,,,,,1984-09-14T00:00:00,14,9,1984,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092353583V,SNELLIUS-II 10619E,,,CC_BY_4_0,Meise Botanic Garden,Coppejans & Prud'homme van Reine; Heys,,,2023-09-07T10:52:04.644Z,InteractiveResource;StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3470242996,b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR5010092347698V,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa taxifolia,,SPECIES,Caulerpa taxifolia (M.Vahl) C.Agardh,Caulerpa taxifolia (M.Vahl) C.Agardh,,,,,PRESENT,,a344ee9f-f1b7-4761-be2c-58ee6d741395,,,,,,,,,2007-04-18T00:00:00,18,4,2007,2643172,2643172,PRESERVED_SPECIMEN,MeiseBG,BR,BR5010092347698V,16203A-C,,,CC_BY_4_0,Meise Botanic Garden,Coppejans E.; Lewmanomont; Prathep & Students,,,2023-09-07T10:52:03.547Z,InteractiveResource;StillImage,
