gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1896919051,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236042,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Petersburg; water-garden pond at Richard Bland College; Johnson Rd,Va,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.1567,-77.3953,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,236042,,,,CC0_1_0,,,,,2023-09-27T16:52:48.546Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896918579,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:155198,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,private pond near Princeton,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.130624,-87.884102,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,155198,,,,CC0_1_0,,,,,2023-09-27T16:52:44.359Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896918570,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:154977,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Pond near Boulder Creek (town),Ca,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.12606,-122.12218,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,154977,,,,CC0_1_0,,,,,2023-09-27T16:52:44.186Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896918506,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236101,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,private pond; near Whitesburg; US 119,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.1183,-82.8269,,,,,,,2005-12-31T00:00:00,31,12,2005,4408321,4408321,OCCURRENCE,,,236101,,,,CC0_1_0,,,,,2023-09-27T16:52:48.319Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896918051,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236115,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Lake Pennyrile; Dawson Sprigs; Hwy 109 and Hwy 398,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.0731,-87.6647,,,,,,,2005-12-31T00:00:00,31,12,2005,4408321,4408321,OCCURRENCE,,,236115,,,,CC0_1_0,,,,,2023-09-27T16:52:48.489Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896918043,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:156542,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Smith Mountain Lake,Va,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.072163,-79.611053,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,156542,,,,CC0_1_0,,,,,2023-09-27T16:52:44.686Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896918003,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236044,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Sandy Bottom Nature Park; City of Hampton; Hampton Roads Center Parkway,Va,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.0672,-76.4394,,,,,,,2005-12-31T00:00:00,31,12,2005,4408321,4408321,OCCURRENCE,,,236044,,,,CC0_1_0,,,,,2023-09-27T16:52:48.567Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896917842,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236105,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,farm pond; near Ledbetter; US 60 West,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,37.0475,-88.4769,,,,,,,2005-12-31T00:00:00,31,12,2005,4408321,4408321,OCCURRENCE,,,236105,,,,CC0_1_0,,,,,2023-09-27T16:52:48.582Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896917072,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236473,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Number 5 mine hole; near Aurora; E High Street,Mo,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.970891,-93.717979,,,,,,,2005-12-31T00:00:00,31,12,2005,4408321,4408321,OCCURRENCE,,,236473,,,,CC0_1_0,,,,,2023-09-27T16:55:08.522Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896917029,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:168249,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Madera,Ca,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.9614,-120.061,,,,,,,2002-12-31T00:00:00,31,12,2002,4408321,4408321,OCCURRENCE,,,168249,,,,CC0_1_0,,,,,2023-09-27T16:52:46.411Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
